Date ; Valeur_Moyenne ; n ; Min ; Max ; Sn ; Mn
2008-09-25 ;12.834176 ;831 ;9.000000 ;17.100000 ;2.650466 ;12.700000
2008-09-26 ;8.665427 ;1721 ;7.000000 ;14.600000 ;1.161756 ;8.500000
2008-09-27 ;10.123256 ;2881 ;5.500000 ;15.900000 ;3.130438 ;9.500000
2008-09-28 ;11.485134 ;2879 ;7.800000 ;16.200000 ;2.760284 ;10.900000
2008-09-29 ;11.826372 ;2825 ;6.900000 ;17.700000 ;3.327620 ;11.700000
2008-09-30 ;12.203340 ;1886 ;6.900000 ;17.100000 ;3.289440 ;11.100000
2008-10-01 ;13.858828 ;1195 ;10.000000 ;17.600000 ;1.953303 ;13.600000
2008-10-02 ;12.295401 ;2870 ;7.500000 ;17.800000 ;3.101721 ;11.600000
2008-10-03 ;8.615168 ;2881 ;4.600000 ;12.200000 ;2.166342 ;8.400000
2008-10-04 ;8.325356 ;2879 ;4.600000 ;14.700000 ;3.232036 ;6.900000
2008-10-05 ;9.485660 ;2880 ;3.400000 ;15.700000 ;3.761654 ;9.900000
2008-10-06 ;12.590669 ;2497 ;8.100000 ;19.700000 ;2.943251 ;12.100000
2008-10-07 ;12.470000 ;2880 ;7.900000 ;17.700000 ;2.660107 ;11.600000
2008-10-08 ;9.679729 ;2802 ;8.600000 ;10.400000 ;0.351396 ;9.800000
2008-10-09 ;12.669132 ;2880 ;8.900000 ;18.300000 ;2.849413 ;12.300000
2008-10-10 ;14.311036 ;2374 ;8.800000 ;20.900000 ;3.641642 ;14.600000
2008-10-11 ;15.421639 ;2879 ;11.100000 ;20.000000 ;2.571160 ;14.600000
2008-10-12 ;15.559951 ;2879 ;10.900000 ;20.000000 ;2.329954 ;15.800000
2008-10-13 ;15.856350 ;2882 ;13.000000 ;18.800000 ;1.424356 ;15.800000
2008-10-14 ;15.464293 ;2879 ;11.700000 ;20.900000 ;2.636691 ;14.700000
2008-10-15 ;14.786111 ;2880 ;10.800000 ;20.400000 ;2.690396 ;14.000000
2008-10-16 ;14.247917 ;2880 ;11.200000 ;20.600000 ;2.589844 ;13.200000
2008-10-17 ;11.962917 ;2880 ;8.400000 ;16.800000 ;2.359755 ;11.400000
2008-10-18 ;12.232882 ;2880 ;9.100000 ;17.400000 ;2.252822 ;11.200000
2008-10-19 ;11.360174 ;2880 ;9.300000 ;13.500000 ;1.396762 ;11.000000
2008-10-20 ;11.863662 ;2163 ;10.000000 ;16.500000 ;1.690487 ;11.300000
2008-10-21 ;12.728924 ;2880 ;10.800000 ;16.600000 ;1.767614 ;11.800000
2008-10-22 ;10.865069 ;2880 ;6.900000 ;13.900000 ;1.653803 ;11.400000
